date,employee,resident,visitor,day
1/2/2021,0,8.416666667,0,1
2/2/2021,0,11.2,0,2
3/2/2021,0,11.43333333,0,3
4/2/2021,0.733333333,10.71666667,0.15,4
5/2/2021,8.55,2.2,8.666666667,5
6/2/2021,0,0.366666667,10.48333333,6
7/2/2021,0,0.133333333,0,7
8/2/2021,8.75,3.283333333,0,8
9/2/2021,9.666666667,0,0,9
10/2/2021,9.55,11.01666667,2.533333333,10
11/2/2021,0,2.75,0,11
12/2/2021,0,1.883333333,0,12
13/2/2021,0,0,0,13
14/2/2021,0,0,0,14
15/2/2021,0,0.15,0,15
16/2/2021,9.133333333,0,4.433333333,16
17/2/2021,9.483333333,0,5.4,17
18/2/2021,9.516666667,8.966666667,3.216666667,18
19/2/2021,8.783333333,11,8.55,19
20/2/2021,0,0,0.6,20
21/2/2021,0,0,0,21
22/2/2021,0,0,0,22
23/2/2021,0,0,0,23
24/2/2021,0,0,0,24
25/2/2021,0,0,4.116666667,25
26/2/2021,0,0,9.966666667,26
27/2/2021,0,0,14.9,27
28/2/2021,0,0,3.1,28
